LA,ルイジアナ州,1,100
LA,ルイジアナ州,5,ジョン・ケネディ,GOP,共和党,851527,62,1,1,25319,1
LA,ルイジアナ州,2,ゲイリー・チェンバース,Dem,民主党,246928,18,0,0,25327,0
LA,ルイジアナ州,9,ルーク・ミクソン,Dem,民主党,182877,13,0,0,25332,0
LA,ルイジアナ州,12,サリータ・スタブ,Dem,民主党,31567,2,0,0,25335,0
LA,ルイジアナ州,3,Devin Graham,GOP,共和党,25275,2,0,0,25328,0
LA,ルイジアナ州,8,Vinny Mendoza,Dem,民主党,11910,0,0,0,25330,0
LA,ルイジアナ州,1,Beryl Billiot,NPD,無所属,9378,0,0,0,25325,0
LA,ルイジアナ州,10,Salvador Rodriguez,Dem,民主党,7766,0,0,0,25333,0
LA,ルイジアナ州,7,Bradley McMorris,Ind,無所属,5388,0,0,0,25331,0
LA,ルイジアナ州,11,Aaron Sigler,Lib,無所属,4863,0,0,0,25334,0
LA,ルイジアナ州,4,Xan John,Oth,無所属,2752,0,0,0,25326,0
LA,ルイジアナ州,6,W. Thomas La Fontaine Olson,NPD,無所属,1676,0,0,0,25329,0
LA,ルイジアナ州,13,Thomas Wenn,Oth,無所属,1322,0,0,0,25336,0
